City,Population,Latitude,Longitude
København,667099,55.6867243,12.5700724
Frederiksberg,110023,55.678016,12.5326186
Ballerup,43984,55.7303589,12.3612313
Brøndby,40207,55.644111,12.4217135
Søvang,1772,55.5683804,12.6144904
Dragør,12304,55.592487,12.6719953
Gentofte,75076,55.7535946,12.541436
Gladsaxe,70834,55.7383794,12.4696107
Glostrup,24764,55.6837485,12.4128789
Herlev,30725,55.7337528,12.4294486
Albertslund,27984,55.6586018,12.3562849
Hvidovre,53708,55.6644909,12.4750154
Hedehusene,16731,55.6480127,12.1968926
Reerslev,717,55.6229682,12.1887946
Taastrup,38178,55.6522136,12.292049
Sengeløse,1494,55.6810192,12.2539974
Vridsløsemagle,289,55.6859136,12.2923091
Lyngby-Taarbæk,58382,55.7854145,12.5202151
Rødovre,44617,55.6648012,12.4591846
Ishøj,22110,55.613379,12.3578947
Torslunde,308,55.6260516,12.2540152
Ishøj Landsby,1328,55.6255367,12.3031694
Tårnby,43609,55.6246457,12.6006252
Vallensbæk,17724,55.6329555,12.3704254
Vallensbæk Landsby,446,55.6355424,12.363621
Furesø,3870,55.801089,12.4089396
Kirke Værløse,983,55.7848926,12.3225172
Farum,20369,55.8101232,12.3702505
Værløse,13200,55.783333,12.383333
Laanshøj,957,55.7755348,12.3224486
Blovstrød,3043,55.8678298,12.3869272
Lynge,4139,55.839462,12.2747763
Lillerød,16756,55.8707776,12.3556762
Nymølle,356,55.8240935,12.296792
Humlebæk,9742,55.9618789,12.5305462
Nivå,8769,55.935056,12.5013529
Sørup,550,54.7075389,11.5822399
Karlebo,253,55.9177848,12.4048049
Fredensborg,8968,55.9821565,12.3950911
Kvistgård,1214,55.9899825,12.4976071
Hornbæk-Dronningmølle,3659,56.09167,12.45000
Hellebæk,5775,56.0739418,12.5488104
Tikøb,698,56.0208025,12.4518018
Gurre,410,56.0212509,12.5199932
Helsingør,48033,56.0348739,12.6130073
Langesø,356,56.0376016,12.4449686
Saunte,1371,56.0761599,12.4865893
Skævinge,3014,55.9087945,12.1552989
Store Lyngby,818,55.9355863,12.1205656
Meløse,635,55.934336,12.1665758
Gørløse,1234,55.8852394,12.197972
Nørre Herlev,425,55.8889703,12.2740223
Uvelse,1062,55.8676066,12.2365795
Alsønderup,592,55.9701108,12.2295333
Gadevang,1128,55.9648187,12.2831994
Hillerød,36594,55.9285735,12.3063909
Nødebo,2042,55.9795052,12.34605
Ny Hammersholt,1264,55.9069173,12.332857
Tulstrup,1185,55.9574497,12.2304918
Hørsholm,38021,55.8832986,12.5000112
Rudersdal,20092,55.8190974,12.4656899
Høsterkøb,310,55.8553781,12.4822277
Birkerød,20941,55.8403369,12.4287796
Skodsborg,1228,55.8214676,12.5728477
Ravnsnæs,575,55.8614119,12.4573927
Tangbjerg,597,55.7698453,12.1166511
Ganløse,2879,55.7917722,12.2657262
Smørumnedre,21768,55.7366023,12.2998472
Søsum,321,55.7709699,12.2306294
Ledøje,781,55.7104409,12.300579
Slagslunde,921,55.8003876,12.2236101
Smørumovre,227,55.7358756,12.274477
Veksø,1799,55.749917,12.2405908
Ølstykke-Stenløse,23382,55.8155521,12.1639774
Buresø,466,55.8144429,12.2317099
Skibby,3135,55.7500014,11.9619362
Skuldelev,840,55.7823802,12.0174932
Kyndby,258,55.7949477,11.919063
Venslev,229,55.7770626,11.9052239
Slangerup,6933,55.8455905,12.1743536
Græse Bakkeby,2312,55.8604963,12.0744099
Jægerspris,4156,55.8505813,11.9916517
Sønderby,268,55.7359288,12.0320203
Gerlev,1057,55.8202582,12.0193836
Landerslev,255,55.825039,11.9877649
Lyngerup,228,55.8063122,11.9844324
Frederikssund,17583,55.8417752,12.063595
Jørlunde,288,55.8310774,12.1691608
Kyndby Huse,291,55.8077635,11.8856186
Store Rørbæk,573,55.7996471,12.1171651
Græse,207,55.8613681,12.097816
Dalby Huse,295,55.8139003,11.940921
Kulhuse,872,55.9241376,11.9173135
Over Dråby Strand,451,55.8349815,11.9608364
Vellerup Sommerby,378,55.7470358,11.8647217
Greve Strand,45883,55.5833746,12.2999286
Greve,742,55.5833746,12.2999286
Tune,5609,55.5957,12.1818152
Kildebrønde,384,55.6091175,12.271589
Vemmedrup,1633,55.4630826,12.0632599
Borup,5049,55.4954852,11.9832516
Ejby,7280,55.4278872,9.930492
Lellinge,764,55.4650596,12.1108164
Algestrup,951,55.3777028,12.079691
Slimminge,487,55.4477304,11.9540824
Bjæverskov,3236,55.4592469,12.0283637
Nørre Dalby,543,55.481059,12.0044796
Køge,38506,55.4565009,12.1818964
Vedskølle,249,55.4062188,12.1772771
Lille Skensved,1607,55.5101491,12.138218
Ølsemagle,658,55.4999621,12.1618502
Frederiksværk,12837,55.9719082,12.0174311
Liseleje,2420,56.0122429,11.9648192
Vinderød,1046,55.9890045,12.0273792
Ølsted,1944,55.9231821,12.0696838
Hundested,8590,55.9668501,11.8515494
Torup,401,55.9831506,11.9416881
Brederød,223,55.9591257,12.0482844
Melby,783,55.996161,11.9675338
Evetofte,366,55.9824513,11.9777365
Ølsted Strandhuse,204,55.9245276,12.0495606
Præstelodden,208,55.9926952,11.9895206
Ølsted Sydstrand,328,55.8934444,12.057461
Gundsømagle,2775,55.7368709,12.1536416
