City,Population,Longitude,Latitude
København,667099,12.5700724,55.6867243
Frederiksberg,110023,12.5326186,55.678016
Ballerup,43984,12.3612313,55.7303589
Brøndby,40207,12.4217135,55.644111
Søvang,1772,12.6144904,55.5683804
Dragør,12304,12.6719953,55.592487
Gentofte,75076,12.541436,55.7535946
Gladsaxe,70834,12.4696107,55.7383794
Glostrup,24764,12.4128789,55.6837485
Herlev,30725,12.4294486,55.7337528
Albertslund,27984,12.3562849,55.6586018
Hvidovre,53708,12.4750154,55.6644909
Hedehusene,16731,12.1968926,55.6480127
Reerslev,717,12.1887946,55.6229682
Taastrup,38178,12.292049,55.6522136
Sengeløse,1494,12.2539974,55.6810192
Vridsløsemagle,289,12.2923091,55.6859136
Lyngby-Taarbæk,58382,12.5202151,55.7854145
Rødovre,44617,12.4591846,55.6648012
Ishøj,22110,12.3578947,55.613379
Torslunde,308,12.2540152,55.6260516
Ishøj Landsby,1328,12.3031694,55.6255367
Tårnby,43609,12.6006252,55.6246457
Vallensbæk,17724,12.3704254,55.6329555
Vallensbæk Landsby,446,12.363621,55.6355424
Furesø,3870,12.4089396,55.801089
Kirke Værløse,983,12.3225172,55.7848926
Farum,20369,12.3702505,55.8101232
Værløse,13200,12.383333,55.783333
Laanshøj,957,12.3224486,55.7755348
Blovstrød,3043,12.3869272,55.8678298
Lynge,4139,12.2747763,55.839462
Lillerød,16756,12.3556762,55.8707776
Nymølle,356,12.296792,55.8240935
Humlebæk,9742,12.5305462,55.9618789
Nivå,8769,12.5013529,55.935056
Sørup,550,11.5822399,54.7075389
Karlebo,253,12.4048049,55.9177848
Fredensborg,8968,12.3950911,55.9821565
Kvistgård,1214,12.4976071,55.9899825
Hornbæk-Dronningmølle,3659,12.45000,56.09167
Hellebæk,5775,12.5488104,56.0739418
Tikøb,698,12.4518018,56.0208025
Gurre,410,12.5199932,56.0212509
Helsingør,48033,12.6130073,56.0348739
Langesø,356,12.4449686,56.0376016
Saunte,1371,12.4865893,56.0761599
Skævinge,3014,12.1552989,55.9087945
Store Lyngby,818,12.1205656,55.9355863
Meløse,635,12.1665758,55.934336
Gørløse,1234,12.197972,55.8852394
Nørre Herlev,425,12.2740223,55.8889703
Uvelse,1062,12.2365795,55.8676066
Alsønderup,592,12.2295333,55.9701108
Gadevang,1128,12.2831994,55.9648187
Hillerød,36594,12.3063909,55.9285735
Nødebo,2042,12.34605,55.9795052
Ny Hammersholt,1264,12.332857,55.9069173
Tulstrup,1185,12.2304918,55.9574497
Hørsholm,38021,12.5000112,55.8832986
Rudersdal,20092,12.4656899,55.8190974
Høsterkøb,310,12.4822277,55.8553781
Birkerød,20941,12.4287796,55.8403369
Skodsborg,1228,12.5728477,55.8214676
Ravnsnæs,575,12.4573927,55.8614119
Tangbjerg,597,12.1166511,55.7698453
Ganløse,2879,12.2657262,55.7917722
Smørumnedre,21768,12.2998472,55.7366023
Søsum,321,12.2306294,55.7709699
Ledøje,781,12.300579,55.7104409
Slagslunde,921,12.2236101,55.8003876
Smørumovre,227,12.274477,55.7358756
Veksø,1799,12.2405908,55.749917
Ølstykke-Stenløse,23382,12.1639774,55.8155521
Buresø,466,12.2317099,55.8144429
Skibby,3135,11.9619362,55.7500014
Skuldelev,840,12.0174932,55.7823802
Kyndby,258,11.919063,55.7949477
Venslev,229,11.9052239,55.7770626
Slangerup,6933,12.1743536,55.8455905
Græse Bakkeby,2312,12.0744099,55.8604963
Jægerspris,4156,11.9916517,55.8505813
Sønderby,268,12.0320203,55.7359288
Gerlev,1057,12.0193836,55.8202582
Landerslev,255,11.9877649,55.825039
Lyngerup,228,11.9844324,55.8063122
Frederikssund,17583,12.063595,55.8417752
Jørlunde,288,12.1691608,55.8310774
Kyndby Huse,291,11.8856186,55.8077635
Store Rørbæk,573,12.1171651,55.7996471
Græse,207,12.097816,55.8613681
Dalby Huse,295,11.940921,55.8139003
Kulhuse,872,11.9173135,55.9241376
Over Dråby Strand,451,11.9608364,55.8349815
Vellerup Sommerby,378,11.8647217,55.7470358
Greve Strand,45883,12.2999286,55.5833746
Greve,742,12.2999286,55.5833746
Tune,5609,12.1818152,55.5957
Kildebrønde,384,12.271589,55.6091175
Vemmedrup,1633,12.0632599,55.4630826
Borup,5049,11.9832516,55.4954852
Ejby,7280,9.930492,55.4278872
Lellinge,764,12.1108164,55.4650596
Algestrup,951,12.079691,55.3777028
Slimminge,487,11.9540824,55.4477304
Bjæverskov,3236,12.0283637,55.4592469
Nørre Dalby,543,12.0044796,55.481059
Køge,38506,12.1818964,55.4565009
Vedskølle,249,12.1772771,55.4062188
Lille Skensved,1607,12.138218,55.5101491
Ølsemagle,658,12.1618502,55.4999621
Frederiksværk,12837,12.0174311,55.9719082
Liseleje,2420,11.9648192,56.0122429
Vinderød,1046,12.0273792,55.9890045
Ølsted,1944,12.0696838,55.9231821
Hundested,8590,11.8515494,55.9668501
Torup,401,11.9416881,55.9831506
Brederød,223,12.0482844,55.9591257
Melby,783,11.9675338,55.996161
Evetofte,366,11.9777365,55.9824513
Ølsted Strandhuse,204,12.0495606,55.9245276
Præstelodden,208,11.9895206,55.9926952
Ølsted Sydstrand,328,12.057461,55.8934444
Gundsømagle,2775,12.1536416,55.7368709
Ågerup,1737,12.154988,55.6949183
Store Valby,394,12.1390149,55.6970534
