Day      , Hour, Price
Monday   ,    0, 2.745128
Monday   ,    1, 2.69
Monday   ,    2, 2.695873
Monday   ,    3, 2.701706
Monday   ,    4, 2.704069
Monday   ,    5, 2.930299
Monday   ,    6, 3.536323
Monday   ,    7, 4.255596
Monday   ,    8, 4.634244
Monday   ,    9, 4.448106
Monday   ,   10, 4.255463
Monday   ,   11, 3.954901
Monday   ,   12, 3.85056
Monday   ,   13, 3.817506
Monday   ,   14, 3.857761
Monday   ,   15, 3.991099
Monday   ,   16, 4.24692
Monday   ,   17, 5.050722
Monday   ,   18, 4.735311
Monday   ,   19, 4.555534
Monday   ,   20, 4.113881
Monday   ,   21, 3.905558
Monday   ,   22, 3.742239
Monday   ,   23, 3.471784
Tuesday  ,    0, 3.324774
Tuesday  ,    1, 3.329483
Tuesday  ,    2, 3.287009
Tuesday  ,    3, 3.237415
Tuesday  ,    4, 3.208613
Tuesday  ,    5, 3.326719
Tuesday  ,    6, 3.875304
Tuesday  ,    7, 4.428477
Tuesday  ,    8, 4.729025
Tuesday  ,    9, 4.491061
Tuesday  ,   10, 4.208929
Tuesday  ,   11, 3.754932
Tuesday  ,   12, 3.519359
Tuesday  ,   13, 3.496796
Tuesday  ,   14, 3.59803
Tuesday  ,   15, 3.896732
Tuesday  ,   16, 4.178374
Tuesday  ,   17, 5.005204
Tuesday  ,   18, 5.14
Tuesday  ,   19, 4.601091
Tuesday  ,   20, 4.078711
Tuesday  ,   21, 3.82552
Tuesday  ,   22, 3.66556
Tuesday  ,   23, 3.46995
Wednesday,    0, 3.377132
Wednesday,    1, 3.348611
Wednesday,    2, 3.301522
Wednesday,    3, 3.271686
Wednesday,    4, 3.278548
Wednesday,    5, 3.397511
Wednesday,    6, 3.908956
Wednesday,    7, 4.805566
Wednesday,    8, 5.058689
Wednesday,    9, 4.455247
Wednesday,   10, 4.052408
Wednesday,   11, 3.761731
Wednesday,   12, 3.549682
Wednesday,   13, 3.511669
Wednesday,   14, 3.531071
Wednesday,   15, 3.710836
Wednesday,   16, 4.005855
Wednesday,   17, 4.417082
Wednesday,   18, 4.451413
Wednesday,   19, 4.000456
Wednesday,   20, 3.612231
Wednesday,   21, 3.512871
Wednesday,   22, 3.431476
Wednesday,   23, 3.200255
Thursday ,    0, 3.038454
Thursday ,    1, 3.01856
Thursday ,    2, 2.948786
Thursday ,    3, 2.864251
Thursday ,    4, 2.775407
Thursday ,    5, 2.904827
Thursday ,    6, 3.026947
Thursday ,    7, 3.589457
Thursday ,    8, 3.584839
Thursday ,    9, 3.58044
Thursday ,   10, 3.47369
Thursday ,   11, 3.327413
Thursday ,   12, 3.182732
Thursday ,   13, 3.160316
Thursday ,   14, 3.218158
Thursday ,   15, 3.423911
Thursday ,   16, 3.758878
Thursday ,   17, 4.089831
Thursday ,   18, 4.287372
Thursday ,   19, 4.050577
Thursday ,   20, 3.756388
Thursday ,   21, 3.541325
Thursday ,   22, 3.402313
Thursday ,   23, 3.166477
Friday   ,    0, 2.98329
Friday   ,    1, 2.999895
Friday   ,    2, 3.006737
Friday   ,    3, 3.015311
Friday   ,    4, 2.961458
Friday   ,    5, 3.12357
Friday   ,    6, 3.449024
Friday   ,    7, 3.937524
Friday   ,    8, 4.182802
Friday   ,    9, 3.977013
Friday   ,   10, 3.662079
Friday   ,   11, 3.459764
Friday   ,   12, 3.367047
Friday   ,   13, 3.40945
Friday   ,   14, 3.44245
Friday   ,   15, 3.553813
Friday   ,   16, 3.867871
Friday   ,   17, 4.124794
Friday   ,   18, 4.271203
Friday   ,   19, 4.02636
Friday   ,   20, 3.79313
Friday   ,   21, 3.521619
Friday   ,   22, 3.377353
Friday   ,   23, 3.036172
Saturday ,    0, 3.051408
Saturday ,    1, 2.908786
Saturday ,    2, 2.824599
Saturday ,    3, 2.782026
Saturday ,    4, 2.758313
Saturday ,    5, 2.776126
Saturday ,    6, 2.742722
Saturday ,    7, 2.96511
Saturday ,    8, 3.162233
Saturday ,    9, 3.319126
Saturday ,   10, 3.293893
Saturday ,   11, 3.167459
Saturday ,   12, 3.004828
Saturday ,   13, 2.820452
Saturday ,   14, 2.855487
Saturday ,   15, 3.073751
Saturday ,   16, 3.582979
Saturday ,   17, 4.034345
Saturday ,   18, 4.271921
Saturday ,   19, 4.01142
Saturday ,   20, 3.60058
Saturday ,   21, 3.382985
Saturday ,   22, 3.2706
Saturday ,   23, 3.009931
Sunday   ,    0, 3.249223
Sunday   ,    1, 3.176974
Sunday   ,    2, 2.989731
Sunday   ,    3, 2.986062
Sunday   ,    4, 2.947563
Sunday   ,    5, 2.942631
Sunday   ,    6, 2.878949
Sunday   ,    7, 2.946334
Sunday   ,    8, 3.073174
Sunday   ,    9, 3.11729
Sunday   ,   10, 3.073253
Sunday   ,   11, 2.946166
Sunday   ,   12, 2.841626
Sunday   ,   13, 2.744549
Sunday   ,   14, 2.778417
Sunday   ,   15, 2.951623
Sunday   ,   16, 3.350956
Sunday   ,   17, 3.824883
Sunday   ,   18, 3.877546
Sunday   ,   19, 3.541959
Sunday   ,   20, 3.242744
Sunday   ,   21, 3.14461
Sunday   ,   22, 3.005876
Sunday   ,   23, 2.706561
